trial	parent	stage	val_bpb	training_seconds	status	description
t0058	t0053	explore	-	-	timeout	One argument added on champion t0053: torch.compile now uses mode max-autotune-no-cudagraphs instead of the default mode, with dynamic=False unchanged. The no-cudagraphs variant is chosen deliberately rather than plain max-autotune, because CUDA graph capture interacts badly with the document-mask path, which builds a cu_seqlens tensor of batch-varying length each step and is marked dynamic. No model, data, optimizer or schedule change accompanies this: batch 2**17, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, all three settled learning rates, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are exactly as in the champion.
t0059	t0058	debug	0.971716	300.100000	discard	Debug repair of t0058 that narrows the search rather than repeating it. torch.compile returns to its default mode, and inductor_config.max_autotune_gemm is set to True before compilation, so Triton matmul candidates are still benchmarked against cuBLAS for each distinct GEMM shape while pointwise autotuning, epilogue-fusion benchmarking and coordinate-descent tuning are not run. The autotune results cached during the t0058 attempt remain available and should absorb part of the remaining GEMM search. Everything else matches champion t0053: batch 2**17 with DEVICE_BATCH_SIZE 64, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5.
t0060	t0053	explore	0.973431	300.100000	discard	Capacity re-test on champion t0053 at the current operating point: DEPTH 12 to 14 with ASPECT_RATIO 42 to 36, chosen so build_model_config still rounds to model_dim 512 with 4 heads of width 128. Batch stays 2**17 with DEVICE_BATCH_SIZE 64, and the settled rates are unchanged, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002 and MATRIX_LR 0.0163. The autotuning from t0058 and t0059 is not carried forward, having cost 162 seconds of wall clock for a step count of 2835 against the champion 2838. Document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0061	t0053	explore	0.973505	300.100000	discard	One constant changed on champion t0053: WARMUP_RATIO from 0.0 to 0.02, so get_lr_multiplier ramps linearly from zero to full rate across the first two percent of the time budget before the flat phase begins. WARMDOWN_RATIO stays at its bracketed optimum of 0.5 and FINAL_LR_FRAC stays 0.1. The depth-14 configuration from t0060 is not carried forward, having lost 0.001801. Batch 2**17, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, the three settled learning rates, WEIGHT_DECAY 0.2 and the Muon momentum warmup at 300 steps are unchanged.
t0062	t0053	explore	0.974451	300.000000	discard	One constant changed on champion t0053: SCALAR_LR from 0.5 to 0.25. This halves the rate for both scalar groups, x0_lambdas from 0.5 to 0.25 and resid_lambdas from 0.005 to 0.0025, since the latter is defined as scalar_lr times 0.01. No other group is affected: EMBEDDING_LR stays 0.6, UNEMBEDDING_LR 0.002 and MATRIX_LR 0.0163. The warmup from t0061 is not carried forward, having cost 0.001875. Batch 2**17, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1, WARMDOWN_RATIO 0.5 and the 300-step Muon momentum ramp are unchanged.
t0063	t0053	recombine	0.972504	300.100000	discard	One constant changed on champion t0053: SCALAR_LR from 0.5 to 1.0, which doubles the rate for both scalar groups, x0_lambdas from 0.5 to 1.0 and resid_lambdas from 0.005 to 0.01 since the latter is defined as scalar_lr times 0.01. No other group moves: EMBEDDING_LR stays 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163. The momentum warmup stays at the inherited 300 steps that both elites support. Batch 2**17, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0064	t0053	explore	0.978616	300.100000	discard	One constant changed on champion t0053: HEAD_DIM from 128 to 256, so build_model_config produces n_head = n_kv_head = 2 at an unchanged model_dim of 512. Parameter count, per-token FLOPs and the value-embedding width all stay the same, since kv_dim is n_kv_head times head_dim and remains 512. Rotary now covers 128 channel pairs per head instead of 64. Batch 2**17, depth 12, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, the three settled learning rates, SCALAR_LR 0.5, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0065	t0053	explore	0.971285	300.000000	keep	One constant changed on champion t0053: WEIGHT_DECAY from 0.2 to 0.146, chosen so the product of step count and per-step decay matches what the 2**18 configuration delivered at 0.2. The declining schedule shape is untouched, still WEIGHT_DECAY times one minus progress, since the coupled variant was tested and closed in t0049 and t0050. Only the Muon matrix groups are affected because the AdamW groups run at weight_decay 0. Batch 2**17, depth 12, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, the three settled learning rates, SCALAR_LR 0.5, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0066	t0065	refine	0.971465	300.100000	discard	One constant changed on champion t0065: WEIGHT_DECAY from 0.146 to 0.11, keeping the declining schedule shape of WEIGHT_DECAY times one minus progress. Only the Muon matrix groups are affected. Batch 2**17 with DEVICE_BATCH_SIZE 64, depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, SCALAR_LR 0.5, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0067	t0065	refine	0.971522	300.100000	discard	One constant changed on champion t0065: the first element of ADAM_BETAS from 0.8 to 0.9, leaving beta2 at 0.95. This affects the four groups that pass adam_betas through setup_optimizer, namely lm_head, wte, the twelve value embeddings and resid_lambdas. The x0_lambdas group is unaffected because it hardcodes its own betas of 0.96 and 0.95, and the Muon groups have their own separate momentum which is bracketed at 0.95. Batch 2**17, depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, the three settled learning rates, SCALAR_LR 0.5, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0068	t0065	explore	0.972084	300.100000	discard	One constant changed on champion t0065: the first element of ADAM_BETAS from 0.8 to 0.7, leaving beta2 at 0.95. It affects the four groups that receive adam_betas through setup_optimizer, lm_head, wte, the twelve value embeddings and resid_lambdas; the x0_lambdas group hardcodes its own betas and the Muon groups use their own momentum schedule. Batch 2**17, depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, the three settled learning rates, SCALAR_LR 0.5, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0069	t0065	explore	0.971071	300.000000	keep	One constant changed on champion t0065: the softcap in GPT.forward from 10 to 13, keeping the softcap*tanh(logits/softcap) form applied after the float32 cast. The value is chosen on the shallow side of the previously measured curve, since the steep side below 10 cost 0.005206 at 7 and is not worth probing blind. Batch 2**17, depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, rotary base 30000, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, SCALAR_LR 0.5, ADAM_BETAS at their bracketed 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0070	t0069	recombine	0.971571	300.100000	discard	One constant changed on champion t0069: WARMDOWN_RATIO from 0.5 to 0.4, so get_lr_multiplier holds full rate until 60 percent of the time budget and then decays to the FINAL_LR_FRAC floor of 0.1 across the final 40 percent. WARMUP_RATIO stays 0.0, which t0061 confirmed. Both elite contributions are carried: WEIGHT_DECAY 0.146 from t0065 and softcap 13 from t0069. Batch 2**17, depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, rotary base 30000, the three settled learning rates, SCALAR_LR 0.5 and ADAM_BETAS at 0.8 and 0.95 are unchanged.
t0071	t0069	explore	0.976498	300.000000	discard	One architectural change on champion t0069: build_model_config now passes n_kv_head as num_heads // 2, giving 2 key-value heads against 4 query heads at an unchanged model_dim of 512 and HEAD_DIM of 128. This halves c_k and c_v, halves kv_dim from 512 to 256, halves every value-embedding table, and narrows each ve_gate output from 4 to 2. The existing assertion that n_kv_head divides n_head is satisfied. Depth 12, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0072	t0069	refine	0.971081	300.000000	discard	One initialisation changed on champion t0069: x0_lambdas filled with 0.067 instead of 0.1 in init_weights, which matters because the model is built on the meta device and materialised by to_empty, so this call is what actually sets the values. resid_lambdas stays at 1.0 and SCALAR_LR stays 0.5, so the group still learns at the rate bracketed in t0062 and t0063. The GQA change from t0071 is not carried forward, having cost 0.005427. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0073	t0069	explore	0.970589	300.100000	keep	One constant changed on champion t0069: WINDOW_PATTERN from SSSL to SSL. Because _compute_window_sizes cycles the pattern across layers and forces the final layer to full context, this yields eight 512-token short layers and four full-context layers at depth 12, instead of nine and three. The short window itself stays at sequence_len // 4, unchanged. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0074	t0073	explore	0.970963	300.100000	discard	One constant changed on champion t0073: WINDOW_PATTERN from SSL to SL. At depth 12 the pattern cycles to place full-context layers at every odd index, six in total, with the remaining six at the 512-token short window; the final layer is forced to full context as before and already was. The short window itself stays at sequence_len // 4. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0075	t0073	explore	0.970968	300.000000	discard	One constant changed on champion t0073: WINDOW_PATTERN from SSL to SSLSL. Cycling that length-5 pattern across depth 12 and forcing the final layer to full context yields the layout SSLSLSSLSLSL, five long layers and seven short ones, against the champion four and eight. The short window stays at sequence_len // 4 and no other structure changes: depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0076	t0073	explore	0.970135	300.050000	keep	One expression changed on champion t0073: short_window in GPT._compute_window_sizes from long_window // 4 to long_window // 8, so the eight short layers of the SSL pattern attend over 256 tokens instead of 512. The four full-context layers at indices 2, 5, 8 and 11 keep the full 2048 span and the pattern itself is unchanged. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0077	t0076	recombine	0.970591	300.100000	discard	One constant changed on champion t0076: WINDOW_PATTERN from SSL to SSLSL, giving five full-context layers at indices 2, 4, 7, 9 and 11 instead of four at 2, 5, 8 and 11. The short window stays at the champion value of long_window // 8, so the short layers keep their 256-token span. This is deliberately the same pattern t0075 tested at the 512 span, which makes the comparison direct in both directions: against the champion it measures the fifth layer at the new span, and against t0075 at 0.970968 it measures the span change at five layers. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0078	t0076	refine	0.972754	300.000000	discard	One expression changed on champion t0076: short_window in GPT._compute_window_sizes from long_window // 8 to long_window // 16, so the eight short layers of the SSL pattern attend over 128 tokens instead of 256. The four full-context layers at indices 2, 5, 8 and 11 keep the full 2048 span and the pattern is unchanged. The fifth global layer tested in t0077 is not carried forward, having cost 0.000456. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0079	t0076	refine	0.970423	300.100000	discard	One expression changed on champion t0076: short_window in GPT._compute_window_sizes from long_window // 8 to long_window * 3 // 16, so the eight short layers of the SSL pattern attend over 384 tokens instead of 256. Integer arithmetic keeps the result exact at 384 for a 2048 long window. The four full-context layers at indices 2, 5, 8 and 11 are unchanged, as is the pattern. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0080	t0076	explore	0.970468	300.100000	discard	Structural change to GPT._compute_window_sizes on champion t0076. Instead of mapping every S in the pattern to a single short_window, the short layers now receive spans interpolated linearly from short_window//2 to short_window*3//2, which is 128 to 384 for the current 256 setting, in order of appearance down the stack. Long layers and the forced full-context final layer are untouched, so the SSL pattern still places 2048-token layers at indices 2, 5, 8 and 11. The verified layout is 128, 164, 2048, 237, 274, 2048, 347, 384, 2048, 201, 310, 2048 across the twelve layers, with the eight short spans averaging exactly 256. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0081	t0076	explore	0.970276	300.000000	discard	Structural change to GPT._compute_window_sizes on champion t0076, mirroring t0080 with the interpolation reversed. The eight short layers of the SSL pattern now take spans descending from short_window*3//2 to short_window//2 in stack order. The layout was verified before submission this time and is 384, 347, 2048, 310, 274, 2048, 237, 201, 2048, 164, 128, 2048, with the eight short spans being 384, 347, 310, 274, 237, 201, 164, 128 and a mean of 255.6. Long layers at indices 2, 5, 8 and 11 are untouched. Depth 12, width 512, HEAD_DIM 128, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0082	t0076	explore	0.970253	300.100000	discard	One argument changed on champion t0076: the beta2 passed to the Muon parameter groups in setup_optimizer from 0.95 to 0.98, feeding second_momentum_buffer.lerp_ inside muon_step_fused. This is distinct from the Muon momentum of 0.95, which is bracketed and unchanged, and from ADAM_BETAS which governs the four AdamW groups. The graded-span experiments from t0080 and t0081 are not carried forward, both having regressed against the uniform 256-token span. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a uniform 256 short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0083	t0076	explore	0.970621	300.000000	discard	Capacity change on champion t0076: DEPTH 12 to 13 with ASPECT_RATIO 42 to 39, holding model_dim at 512 and n_head at 4. This adds one transformer block and one value-embedding table, and the SSL pattern over 13 layers places full-context layers at indices 2, 5, 8, 11 and the forced final layer 12, so the global-layer count rises from 4 to 5 as a side effect of the depth change. The NorMuon beta2 from t0082 is not carried forward, having measured null. Width 512, HEAD_DIM 128, the uniform 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0084	t0076	recombine	0.972235	300.000000	discard	MLP expansion reduced from 4 to 3 on champion t0076, changing both projections so c_fc maps 512 to 1536 and c_proj maps 1536 back to 512. Depth stays 12 and width stays 512, so this isolates the attention-to-MLP allocation at fixed depth and is the mirror of t0047. Correction to the t0080 record, carried here because extra JSON keys are dropped by the controller and my attempt to record it in t0081 did not persist: the t0080 change_summary listed the computed windows as 128, 164, 2048, 237, 274, 2048, 347, 384, 2048, 201, 310, 2048, but the actual layout was 128, 164, 2048, 201, 237, 2048, 274, 310, 2048, 347, 384, 2048; its risk note claimed the spans were not monotonic down the stack and that index 9 got 201 after index 7 got 384, which is false since seen_short increments in stack order; and it said the mean span was exactly 256 when it was 255.6. The t0080 code was correct and its measurement of 0.970468 stands; only the description was wrong.
t0085	t0076	explore	0.970922	300.100000	discard	One initialisation changed on champion t0076: lm_head.weight from normal with standard deviation 0.001 to exact zeros, matching how attn.c_proj and mlp.c_proj are already initialised in the same function. This matters because the model is built on the meta device and materialised by to_empty, so init_weights is what actually sets these values. The MLP reduction from t0084 is not carried forward, having cost 0.002100. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a uniform 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0086	t0076	explore	0.971715	300.000000	discard	One initialisation changed on champion t0076: the standard deviation of the normal init on lm_head.weight from 0.001 to 0.01, a tenfold increase, in init_weights where the meta-device model is materialised. Everything else is the champion: depth 12, width 512, HEAD_DIM 128, the SSL pattern with a uniform 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5.
t0087	t0076	explore	0.969277	300.100000	keep	One initialisation changed on champion t0076: the value-embedding tables move from uniform plus or minus s, which is 0.0766, to uniform plus or minus sqrt(3), giving element RMS 1.0 and matching the measured RMS of the v stream they are added to. The projections keep s unchanged, and transformer.wte keeps its normal 1.0 init. This is safe at initialisation despite the size of the change because attn.c_proj is zero-initialised, so the attention block contributes nothing to the residual stream on the first step regardless of the value magnitude; the effect is on the gradients that flow back into the embeddings and the gate. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a uniform 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, the three settled learning rates, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0088	t0087	refine	0.969342	300.000000	discard	One initialisation changed on champion t0087: the value-embedding tables from uniform plus or minus sqrt(3) to uniform plus or minus 2*sqrt(3), doubling element RMS from 1.0 to 2.0. The projections keep the fan-in scale s and transformer.wte keeps its normal 1.0 init. This remains safe at initialisation because attn.c_proj is zero-initialised, so the attention block contributes nothing to the residual stream on the first step regardless of value magnitude. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a uniform 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0089	t0087	explore	0.968389	300.100000	keep	Optimizer change on champion t0087, reintroducing the plumbing first tried in t0023: setup_optimizer gains a value_embedding_lr argument defaulting to embedding_lr, so behaviour is unchanged unless supplied, and the existing separate value_embeds parameter group uses it. A new VALUE_EMBEDDING_LR constant of 0.3 is passed at the call site while EMBEDDING_LR stays 0.6 for transformer.wte. The corrected value-embedding init of uniform plus or minus sqrt(3) from t0087 is retained; the doubling from t0088 is not, having measured null. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0090	t0089	refine	0.968528	300.000000	discard	One learning rate changed on champion t0089: VALUE_EMBEDDING_LR from 0.3 to 0.15, affecting only the value-embedding AdamW group, roughly 50M parameters across twelve tables. EMBEDDING_LR stays 0.6 for transformer.wte, UNEMBEDDING_LR stays 0.002 and MATRIX_LR stays 0.0163. The corrected value-embedding init of uniform plus or minus sqrt(3) is retained. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a 256-token short span, document masking, dense value embeddings with the 128-channel gate, output softcap 13, rotary base 30000, batch 2**17, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0091	t0089	recombine	0.968898	300.000000	discard	One constant changed on champion t0089: ve_gate_channels from 128 to 256, so each of the twelve value-embedding gates reads the first 256 residual channels instead of 128 when computing its per-head 2*sigmoid factor. Both elite contributions are retained: the corrected init of uniform plus or minus sqrt(3) from t0087 and the decoupled VALUE_EMBEDDING_LR of 0.3 confirmed by t0089 and bracketed by t0090. Depth 12, width 512, HEAD_DIM 128, the SSL pattern with a 256-token short span, document masking, output softcap 13, rotary base 30000, batch 2**17, EMBEDDING_LR 0.6, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163, SCALAR_LR 0.5, ADAM_BETAS 0.8 and 0.95, WEIGHT_DECAY 0.146, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0092	t0089	refine	0.996374	300.100000	discard	Precision change on champion t0089: the value-embedding tables are no longer cast to bf16 in init_weights, so they remain fp32 parameters with fp32 AdamW moments, while GPT.forward casts each gathered row to x.dtype at the point of use so attention still receives bf16 and the fa3 kernel is unaffected. transformer.wte keeps its bf16 cast, since its elements sit near the scale where bf16 resolution is adequate and it is normalised immediately in forward. The corrected init of uniform plus or minus sqrt(3) and the decoupled VALUE_EMBEDDING_LR of 0.3 are retained; the 256-channel gate from t0091 is not, having cost 0.000509. Roughly 50M parameters move from bf16 to fp32, adding about 200MB of parameter and moment memory against the 35GB this configuration currently uses.
t0093	t0089	explore	-	-	failed	Optimizer change on champion t0089: AdamW moment buffers are allocated as float32 regardless of parameter dtype instead of inheriting it through zeros_like. The value embeddings and wte keep their bf16 casts in init_weights, so the forward pass, the embedding gathers and the parameter writes are unchanged from the champion. This affects the four AdamW groups, of which only the value embeddings are large enough to matter, adding roughly 200MB of moment memory against the 34GB this configuration uses. adamw_step_fused is compiled with dynamic=False and will recompile once for the new dtype mix, at a step-zero cost excluded from the timed budget. The fp32 parameter experiment from t0092 is not carried forward.
t0094	t0093	debug	0.968509	300.000000	discard	Debug repair of t0093 with the mechanism intact and the arithmetic unchanged. adamw_step_fused now states its dtypes explicitly for the mixed-precision case: the gradient is cast once to the moment dtype and reused for both lerp_ calls, and the parameter update folds the step size into the fp32 expression before a single cast back to the parameter dtype, since add_ likewise cannot write an fp32 result into a bf16 destination. For the fp32 parameter groups both casts are no-ops. The moment buffers stay float32 as in t0093, and the value embeddings and wte keep their bf16 casts, so gathers, the forward pass and parameter storage are exactly as in champion t0089.
t0095	t0089	explore	0.980817	300.100000	discard	One expression changed on champion t0089: the MLP activation from F.relu(x).square() to F.gelu(x). Parameter count and per-token FLOPs are unchanged, and no other component moves. CORRECTION TO THE t0092 RECORD, carried here because the ledger is append-only: that node claimed fp32 value embeddings improved quality per step, citing loss 3.013 at step 1000 against the champion 3.029. That comparison was invalid. The learning-rate schedule is driven by elapsed training time, not step index, so at step 1000 the slower t0092 had consumed 55 percent of its budget and was already annealing at lrm 0.90 while the champion was still at full rate with lrm 1.00; lower loss at equal step count is what annealing produces. t0094 settles it: with fp32 moments the step count is preserved at 2871 against 2875 and the loss at step 1000 is 3.029348 against 3.029267, identical. There was no precision effect on this path. t0092 had a throughput cost and no quality benefit, and the precision direction is abandoned rather than relocated again, as pre-committed in t0094.
t0096	t0089	explore	0.967286	300.000000	keep	Polyak weight averaging added to champion t0089. Two constants are introduced, EMA_START at 0.7 and EMA_DECAY at 0.99. After each optimizer step past 70 percent of the time budget, an fp32 running average of every parameter is updated by lerp, and immediately before the single locked evaluate_bpb call the averaged weights are copied into the model. With about 2875 steps and 30 percent of the budget in the averaging phase, the window covers roughly 860 steps at a decay of 0.99, an effective horizon near 100 steps. Nothing else changes: the averaging is computed purely from training parameters, touches no validation data, and the evaluation remains exactly one ordinary call to the immutable evaluator, which scores whatever weights the model holds at that moment.
t0097	t0096	refine	0.967445	300.100000	discard	One constant changed on champion t0096: EMA_DECAY from 0.99 to 0.995, doubling the effective averaging horizon from roughly 100 to roughly 200 steps. EMA_START stays 0.7, which is not the binding parameter: with about 860 steps in the averaging phase and a horizon of 200, the average has long since forgotten its starting point, so the decay alone sets the window. Everything else matches the champion, including the corrected value-embedding init, the decoupled VALUE_EMBEDDING_LR of 0.3, depth 12, the SSL pattern with a 256-token short span, document masking, output softcap 13, batch 2**17 and WEIGHT_DECAY 0.146.
t0098	t0096	recombine	0.967527	300.000000	discard	One constant changed on champion t0096: EMA_DECAY from 0.99 to 0.98, halving the effective averaging horizon from roughly 100 to roughly 50 steps. EMA_START stays 0.7 and remains non-binding, since the averaging phase spans about 860 steps and a 50-step horizon forgets its start point many times over. Both elite lines contribute their settled content: the averaging mechanism itself from t0096 and the finding from t0097 that the window should not be widened. Everything else matches the champion, including the corrected value-embedding init, VALUE_EMBEDDING_LR 0.3, depth 12, the SSL pattern with a 256-token short span, document masking, output softcap 13, batch 2**17, WEIGHT_DECAY 0.146 and FINAL_LR_FRAC 0.1.
